Anatomical Strucures, Cell Types and Biomarkers Table for *Organ* v2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Angela Kruse, David Anderson, Christine Curcio, Kevin Schey, Jeffrey Spraggins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-8776-2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2003; Peng et. al., 2019; Marc and Jones 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,Will be added after table is finalized and published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,8/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR Template ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/2,CT/2/LABEL,CT/2/ID,CT/3,CT/3/LABEL,CT/3/ID,CT/4,CT/4/LABEL,CT/4/ID,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProteoform/1,BProteoform/1/LABEL,BProteoform/1/ID,BProteoform/2,BProteoform/2/LABEL,BProteoform/2/ID,BLipid/1,BLipid/1/LABEL,BLipid/1/ID,BLipid/2,BLipid/2/LABEL,BLipid/2/ID,BMetabolites/1,BMetabolites/1/LABEL,BMetabolites/1/ID,BMetabolites/2,BMetabolites/2LABEL,BMetabolites/2/ID,FTU,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,CEDAR/ID,CEDAR/LAST_UPLOADED_ON
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cell,Amacrine Cell,CL:0000561,,,,,,,TFAP2A,transcription factor AP-2 alpha,HGNC:11742,TFAP2B,transcription factor AP-2 beta,HGNC:11743,TFAP2C,transcription factor AP-2 gamma,HGNC:11744,GAD1,glutamate decarboxylase 1,HGNC:4092,GAD2,glutamate decarboxylase 2,HGNC:4093,SLC6A9,solute carrier family 6 member 9,HGNC:11056,C1QL1,complement C1q like 1,HGNC:24182,C1QL2,complement C1q like 2,HGNC:24181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peng et. Al. 2019,,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABAergic amacrine cell,,,glutamic acid decarboxylase 65,,,,,,,,,,,,,,,,,,,,,,,,,,,glutamic acid decarboxylase 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weltzien et al. (2015); Grünert 2020,,GABAergic amacrine cell,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,"SCG2-ACB21:I28, wavy",,,,,,,,,,,,,,,,,,,,,,,,,,,SCG2,Secretogranin 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2003",,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,TH,Tyrosine hydroxylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2004",,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,SST,,,,,,,,,,,,,,,,,,,,,,,,,,,SST,Somatostatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2005",,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,SACs,,,,,,,,,,,,,,,,,,,,,,,,,,,CHAT,Choline O-Acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2006",,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,Wiry cells,,,,,,,,,,,,,,,,,,,,,,,,,,,PYGM,Glycogen phosphorylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2007",,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,"VIP-AC, ""spiny"" A12 amacrine cell",,,,,,,,,,,,,,,,,,,,,,,,,,,VIP,vasoactive intestinal polypeptide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2008",,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,SCGN-AC (Spiny AC ),,,,,,,,,,,,,,,,,,,,,,,,,,,SCGN,Secretagogin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2009",,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,NPY-AC,,,,,,,,,,,,,,,,,,,,,,,,,,,NPY,Neuropeptide Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2010",,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,"SubstanceP-AC, thorny G21 ACs",,,,,,,,,,,,,,,,,,,,,,,,,,,TACR1,Tachykinin Receptor 1,,TACR3,Tachykinin Receptor 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2011",,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,GABA-ergic Amacrine Cells,,,CARTPT-AC,,,,,,,,,,,,,,,,,,,,,,,,,,,CARTPT,Cocaine- and amphetamine-regulated transcript protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2012",,,,,,,
