AS/1/ID,AS/1,AS/1/COUNT
CL:0000034,stem cell,144
CL:0000057,fibroblast,95
CL:0000084,T cell,237
CL:0000097,mast cell,5
CL:0000103,bipolar neuron,1627
CL:0000114,surface ectodermal cell,54
CL:0000115,endothelial cell,279
CL:0000125,glial cell,1893
CL:0000129,microglial cell,314
CL:0000136,fat cell,44
CL:0000148,melanocyte,144
CL:0000235,macrophage,108
CL:0000236,B cell,102
CL:0000287,eye photoreceptor cell,891
CL:0000451,dendritic cell,182
CL:0000499,stromal cell,325
CL:0000561,amacrine cell,51
CL:0000575,corneal epithelial cell,1488
CL:0000576,monocyte,44
CL:0000604,retinal rod cell,1014
CL:0000624,"CD4-positive, alpha-beta T cell",23
CL:0000625,"CD8-positive, alpha-beta T cell",8
CL:0000669,pericyte cell,77
CL:0000681,radial glial cell,195
CL:0000740,retinal ganglion cell,154
CL:0000745,retina horizontal cell,36
CL:0000748,retinal bipolar neuron,34
CL:0000764,erythroid lineage cell,30
CL:0000786,plasma cell,46
CL:0002303,pigmented ciliary epithelial cell,17
CL:0002363,keratocyte,595
CL:0002585,retinal blood vessel endothelial cell,466
CL:0002586,retinal pigment epithelial cell,49
CL:0011107,Muller cell,360
CL:1000432,conjunctival epithelial cell,4587
CL:1000436,epithelial cell of lacrimal sac,52
