AS/1/ID,AS/1,AS/1/COUNT
CL:0000057,fibroblast,47
CL:0000084,T cell,573
CL:0000097,mast cell,53
CL:0000115,endothelial cell,3653
CL:0000169,type B pancreatic cell,10774
CL:0000171,pancreatic A cell,10745
CL:0000173,pancreatic D cell,1419
CL:0000236,B cell,144
CL:0000696,PP cell,485
CL:0000763,myeloid cell,1862
CL:0000786,plasma cell,63
CL:0000814,mature NK T cell,47
CL:0002064,pancreatic acinar cell,19502
CL:0002079,pancreatic ductal cell,8469
CL:0002275,pancreatic PP cell,169
CL:0002410,pancreatic stellate cell,1553
CL:0005019,pancreatic epsilon cell,184
CL:0008019,mesenchymal cell,78
CL:0008024,pancreatic endocrine cell,8
