AS/1/ID,AS/1,AS/1/COUNT
CL:0000057,fibroblast,4927
CL:0000084,T cell,2626
CL:0000097,mast cell,991
CL:0000186,myofibroblast cell,1989
CL:0000192,smooth muscle cell,227
CL:0000235,macrophage,4876
CL:0000236,B cell,251
CL:0000669,pericyte cell,708
CL:0000784,plasmacytoid dendritic cell,18
CL:0000786,plasma cell,1141
CL:0000814,mature NK T cell,485
CL:0002138,endothelial cell of lymphatic vessel,73
CL:0002144,capillary endothelial cell,66
CL:0002543,vein endothelial cell,266
CL:1001428,bladder urothelial cell,2873
