CT/1,CT/1/SUPERTYPE
Afferent Arteriole Endothelial Cell,1
Ascending Vasa Recta Endothelial Cell,1
Descending Vasa Recta Endothelial Cell,1
Efferent Arteriole cell,1
Endothelial Cell,1
Glomerular Capillary Endothelial Cell,1
Lymphatic Endothelial Cell,1
Ascending Thin Limb Cell,4
Collecting Duct Cell,4
Collecting Duct Intercalated Cell,4
Collecting Duct Intercalated Cell Type A,4
Collecting Duct Principal Cell,4
Connecting Tubule Cell,4
Connecting Tubule Intercalated Cell,4
Connecting Tubule Intercalated Cell Type A,4
Connecting Tubule Intercalated Cell Type B,4
Connecting Tubule Principal Cell,4
Cortical Collecting Duct Intercalated Cell Type A,4
Cortical Collecting Duct Intercalated Cell Type B,4
Cortical Collecting Duct Principal Cell,4
Cortical Thick Ascending Limb Cell,4
Descending Thin Limb Cell,4
Descending Thin Limb Cell Type 1,4
Descending Thin Limb Cell Type 2,4
Descending Thin Limb Cell Type 3,4
Distal Convoluted Tubule Cell,4
Distal Convoluted Tubule Cell Type 1,4
Distal Convoluted Tubule Cell Type 2,4
Inner Medullary Collecting Duct Cell,4
Intercalated Cell Type B,4
Juxtaglomerular granular cell (Renin positive),4
Macula Densa cell,4
Medullary Thick Ascending Limb Cell,4
Outer Medullary Collecting Duct Intercalated Cell Type A,4
Outer Medullary Collecting Duct Principal Cell,4
Parietal Epithelial Cell,4
Peritubular Capillary Endothelial Cell,4
Podocyte,4
Proximal Tubule Cell Epithelial Segment 3,4
Proximal Tubule Epithelial Cell,4
Proximal Tubule Epithelial Cell Segment 1,4
Proximal Tubule Epithelial Cell Segment 2,4
Thick Ascending Limb Cell,4
Transitional principal-intercalated cell,4
B cell,5
Cytotoxic T Cell,5
Dendritic Cell (classical),5
Dendritic Cell (general),5
Dendritic Cell (plasmatoid),5
Macrophage-Resident,5
Mast cell,5
Monocyte,5
Natural Killer Cell,5
Natural Killer T Cell,5
Neutrophil,5
non Classical Monocyte,5
Plasma cell,5
T Cell,5
capsule mesenchymal stromal cell,6
Fibroblast,6
Mesangial Cell,6
Myofibroblast,6
Vascular Smooth Muscle Cell/Pericyte (general),7
